"","S1","S2","S3","S4","S5","S6","S8","S9"
"4930444E06Rik",2,3,0,1,4,7,0,2
"4930444G20Rik",7,0,0,0,0,2,1,0
"4930445E18Rik",17,5,6,19,10,9,17,4
"4930445N18Rik",11,18,3,2,6,10,8,0
"4930447C04Rik",9,0,0,0,0,0,0,0
"4930447F24Rik",0,7,0,1,2,0,4,0
"4930447K03Rik",12,11,14,10,10,9,8,2
"4930447M23Rik",3,4,0,1,1,13,4,0
"4930448A20Rik",0,5,0,6,1,0,0,0
"4930448K20Rik",4,3,2,2,2,0,1,3
"4930451E10Rik",106,56,58,60,35,78,41,46
"4930451G09Rik",28,13,5,9,11,19,23,9
"4930452B06Rik",0,2,4,4,1,0,0,1
"4930453C13Rik",15,5,8,3,0,3,30,0
"4930453N24Rik",1408,1239,753,744,712,1025,1009,746
"4930455C13Rik",34,20,42,26,28,18,50,19
"4930455G09Rik",80,64,54,68,26,47,46,51
"4930455H04Rik",6,4,0,0,0,0,4,0
"4930456G14Rik",11,10,3,5,8,41,22,3
"4930458B22Rik",20,6,4,8,3,4,6,5
"4930458D05Rik",42,9,10,46,23,22,32,9
"4930459C07Rik",48,43,5,47,10,45,45,4
"4930461G14Rik",83,39,49,51,36,19,52,18
"4930466K18Rik",10,5,2,4,2,4,8,5
"4930469K13Rik",56,46,28,36,38,52,51,28
"4930470G03Rik",158,130,128,88,139,74,110,83
"4930471E19Rik",12,9,8,11,10,0,8,8
"4930473A02Rik",374,341,330,304,244,248,240,219
"4930473H19Rik",33,14,16,18,21,10,20,6
"4930474H06Rik",8,14,16,8,4,6,13,2
"4930477G07Rik",53,45,19,35,14,42,46,20
"4930478L05Rik",6,6,2,2,9,1,25,0
"4930478M09Rik",0,6,3,2,4,2,0,0
"4930478M13Rik",8,2,3,2,5,1,4,1
"4930479D17Rik",12,9,2,5,2,5,5,1
"4930480K15Rik",0,0,0,0,1,4,6,5
"4930481A15Rik",173,230,114,98,151,274,196,92
"4930481B07Rik",5,5,4,0,5,18,2,0
"4930483K19Rik",8,2,4,6,6,2,1,0
"4930484I04Rik",3,4,1,0,1,6,7,3
"4930486L24Rik",19,16,16,18,5,11,11,17
"4930488N15Rik",13,9,5,7,8,12,10,3
"4930500F10Rik",27,8,2,6,2,1,8,0
"4930500M09Rik",2,7,8,10,12,1,6,2
"4930502E09Rik",0,0,1,0,0,9,0,0
"4930503E24Rik",2,1,3,1,3,1,2,2
"4930503L19Rik",545,374,269,380,253,408,502,210
"4930505N22Rik",1,6,7,8,6,8,13,4
"4930506C21Rik",547,354,241,255,232,234,280,204
"4930507D05Rik",14,2,2,2,7,4,8,0
"4930509G22Rik",1,6,3,8,5,6,15,1
"4930509H03Rik",0,10,1,0,0,0,4,0
"4930509K18Rik",4,2,1,2,0,0,2,1
"4930511M06Rik",0,4,2,10,1,0,3,0
"4930512B01Rik",23,13,10,4,13,11,14,4
"4930512H18Rik",0,17,8,12,5,4,5,4
"4930512J16Rik",93,44,52,30,22,29,23,3
"4930513N10Rik",36,20,26,16,16,36,36,7
"4930515G01Rik",16,20,16,8,6,8,4,6
"4930516B21Rik",9,13,11,8,5,7,15,2
"4930517E14Rik",1,0,0,0,4,0,6,7
"4930517G19Rik",16,1,0,10,6,0,6,7
"4930517L18Rik",3,0,0,2,0,4,4,0
"4930518I15Rik",40,52,11,19,25,63,66,28
"4930519G04Rik",32,53,3,29,31,55,89,21
"4930519P11Rik",7,8,0,0,2,10,5,1
"4930520O04Rik",74,37,24,33,3,7,7,8
"4930522L14Rik",105,101,79,36,51,83,93,86
"4930523C07Rik",804,758,430,520,490,512,862,336
"4930524O07Rik",559,280,287,280,202,216,250,142
"4930525G20Rik",4,0,6,0,1,0,12,5
"4930526A20Rik",154,96,103,108,72,59,78,56
"4930526L06Rik",4,0,3,1,0,6,0,0
"4930528J11Rik",98,52,36,40,30,44,36,46
"4930529C04Rik",24,24,12,19,23,21,17,14
"4930532G15Rik",21,14,8,13,5,41,26,15
"4930533B01Rik",10,0,5,7,3,0,13,0
"4930533K18Rik",22,39,40,37,22,5,38,20
"4930534H03Rik",8,4,1,2,2,4,2,3
"4930534H18Rik",6,0,0,0,0,6,7,0
"4930537H20Rik",13,1,6,4,6,2,6,4
"4930538E20Rik",15,12,9,5,2,12,6,12
"4930539E08Rik",21,21,11,19,22,2,8,3
"4930539J05Rik",76,79,61,61,52,42,58,28
"4930543I11Rik",4,4,0,0,12,13,10,0
"4930545L23Rik",3,4,1,5,0,0,5,0
"4930548H24Rik",0,4,0,0,0,7,2,2
"4930549G23Rik",210,154,88,118,110,84,114,82
"4930550C14Rik",0,12,1,3,2,3,2,2
"4930550L24Rik",0,8,2,0,0,0,1,0
"4930551L18Rik",2,1,2,4,0,4,4,0
"4930551O13Rik",42,23,10,18,16,20,26,10
"4930553I21Rik",6,1,1,0,1,4,9,0
"4930555A03Rik",7,11,24,4,8,9,14,21
"4930556H04Rik",16,14,0,1,3,11,3,0
"4930556J24Rik",189,104,123,106,97,70,75,37
"4930556M19Rik",83,38,49,69,17,26,33,25
"4930557K07Rik",14,28,21,15,22,26,30,16
"4930558J18Rik",8,0,10,10,4,6,8,2
"4930558J22Rik",8,5,3,8,4,11,7,3
"4930560O18Rik",32,22,15,14,10,7,8,2
"4930562C15Rik",8,1,0,4,4,2,6,1
"4930562F07Rik",128,108,72,80,62,92,124,44
"4930563E22Rik",2,4,1,4,9,7,8,0
"4930565N06Rik",0,0,2,0,5,1,9,0
"4930566F21Rik",7,14,7,8,8,3,8,6
"4930568A12Rik",31,51,20,13,25,47,47,22
"4930570N18Rik",7,5,10,10,7,6,5,10
"4930577N17Rik",58,84,28,34,44,52,42,27
"4930578M01Rik",7,6,2,11,4,9,21,8
"4930578M07Rik",10,0,0,0,2,5,3,9
"4930579C12Rik",44,51,18,40,40,141,75,46
"4930579G18Rik",126,161,79,96,121,102,147,32
"4930579G24Rik",230,115,108,116,94,101,98,96
"4930579K19Rik",8,1,3,8,4,10,10,2
"4930581F22Rik",674,506,236,402,254,796,830,167
"4930586N03Rik",36,16,20,12,10,16,20,10
"4930588G17Rik",4,8,2,6,2,8,4,6
"4930589L23Rik",11,2,0,10,1,3,1,5
"4930589O11Rik",21,4,6,4,8,13,16,6
"4930590J08Rik",6,15,7,6,13,9,11,6
"4930592A05Rik",84,68,76,66,71,50,47,39
"4930592I03Rik",2,12,1,4,8,0,14,0
"4930594C11Rik",96,67,24,51,51,74,92,22
"4930594M22Rik",28,15,16,4,8,2,11,9
"4930595D18Rik",16,10,14,5,8,2,30,7
"4930596I21Rik",11,13,4,7,2,2,26,6
"4930597O21Rik",28,20,16,14,14,20,19,9
"4930599N23Rik",185,196,106,115,178,179,159,46
"4930599N24Rik",7,0,3,1,2,8,13,2
"4931403E22Rik",42,44,26,26,29,62,60,26
"4931406B18Rik",62,57,5,36,24,66,60,10
"4931406C07Rik",1071,805,888,596,656,606,646,642
"4931406G06Rik",12,16,6,18,26,41,40,13
"4931406P16Rik",575,590,456,424,441,367,368,206
"4931413K12Rik",190,164,81,64,49,112,182,42
"4931414P19Rik",180,120,167,87,97,91,87,59
"4931415C17Rik",3,5,0,6,2,2,2,0
"4931422A03Rik",20,15,12,6,11,12,17,2
"4931428F04Rik",89,34,63,114,56,36,59,12
"4931428L18Rik",0,3,0,0,0,3,4,0
"4931431B13Rik",2,4,0,0,2,24,4,0
"4931431C16Rik",61,76,58,48,97,40,54,16
"4931440F15Rik",30,28,20,18,20,15,2,12
"4931440P22Rik",156,103,94,102,106,147,181,44
"4932422M17Rik",9,16,12,18,6,40,29,12
"4932438A13Rik",1468,1326,1078,935,1408,1179,1582,710
"4932438H23Rik",88,55,37,64,77,149,120,35
"4932441J04Rik",0,10,5,12,8,0,2,0
"4932442E05Rik",72,84,42,50,54,44,78,16
"4932443L11Rik",11,20,21,20,20,8,24,12
"4932702P03Rik",7,4,4,5,1,6,3,0
"4933400F21Rik",11,2,1,2,2,8,3,1
"4933401L05Rik",0,7,5,1,1,4,6,2
"4933402N22Rik",7,3,6,7,4,4,8,0
"4933403L11Rik",6,9,0,5,1,2,7,1
"4933404O12Rik",75,68,76,65,38,42,35,49
"4933405L10Rik",6,4,4,6,2,0,4,4
"4933406B15Rik",2,2,4,0,0,2,0,1
"4933406C10Rik",9,0,3,2,5,0,0,0
"4933406I18Rik",7,6,7,3,4,0,4,0
"4933406M09Rik",0,5,3,0,0,2,3,0
"4933406P04Rik",30,13,3,11,7,37,22,6
"4933407K13Rik",85,97,24,37,29,30,40,17
"4933407L21Rik",44,60,20,39,36,82,52,16
"4933408B17Rik",12,1,0,19,4,16,4,0
"4933408J17Rik",86,44,62,54,29,19,23,6
"4933412A08Rik",18,18,13,19,18,17,10,3
"4933412E12Rik",150,137,86,114,143,50,100,73
"4933412L11Rik",8,10,4,6,8,26,4,4
"4933412O06Rik",2,4,3,0,2,5,4,1
"4933413C19Rik",3,2,4,0,0,0,10,5
"4933413J09Rik",1,0,2,3,2,4,8,3
"4933416M07Rik",296,256,134,259,216,473,418,150
"4933417C20Rik",0,0,3,0,7,6,16,5
"4933417D19Rik",11,9,6,8,6,18,6,5
"4933417E11Rik",9,18,23,26,5,17,28,12
"4933417G07Rik",2,2,4,2,0,1,0,4
"4933421A08Rik",5,0,0,0,0,1,0,2
"4933421O10Rik",100,92,88,52,63,124,116,54
"4933423P22Rik",121,62,41,31,25,18,147,7
"4933424G05Rik",0,8,3,0,0,0,7,0
"4933424M12Rik",158,153,77,47,75,83,52,58
"4933426B08Rik",4,0,0,2,0,0,2,6
"4933426K07Rik",0,0,0,1,1,9,0,0
"4933427D14Rik",104,90,104,72,82,76,84,48
"4933427G23Rik",29,30,22,18,24,21,28,17
"4933428G20Rik",25,12,28,22,28,14,20,8
"4933428P19Rik",28,10,20,16,28,8,22,4
"4933429H19Rik",88,59,51,42,37,74,32,56
"4933430I17Rik",11,7,13,2,3,4,27,3
"4933430L12Rik",15,12,7,14,14,18,28,2
"4933431C10Rik",0,21,3,0,2,11,13,0
"4933431E20Rik",14,13,29,33,22,12,20,16
"4933431G14Rik",4,10,0,3,3,5,15,5
"4933431K14Rik",24,11,10,14,8,22,21,9
"4933431K23Rik",0,6,1,0,2,2,11,7
"4933432I03Rik",23,10,10,40,6,38,18,8
"4933433G15Rik",2,2,5,3,5,6,26,1
"4933433G19Rik",134,134,120,74,81,74,76,80
"4933433H22Rik",21,35,11,6,11,6,19,6
"4933434E20Rik",3038,2183,1529,1630,1374,1777,1759,993
"4933436P19Rik",6,0,0,0,0,0,1,4
"4933437G19Rik",3,0,2,5,1,1,2,11
"4933439C10Rik",128,87,59,44,54,138,98,59
"4933439K11Rik",28,40,16,20,22,25,29,38
"4933440N22Rik",233,173,167,183,178,142,207,65
"5031415H12Rik",2,0,1,4,0,0,5,4
"5031425E22Rik",463,416,305,382,396,608,634,224
"5031425F14Rik",124,91,46,84,65,91,69,22
"5031434O11Rik",50,22,34,43,20,50,76,25
"5031439G07Rik",12131,8933,7538,6849,7032,5764,5478,4633
"5033403F01Rik",3,2,4,2,0,6,4,0
"5033406O09Rik",42,23,24,23,14,22,19,8
"5033417F24Rik",10,17,3,2,5,11,10,0
"5033421B08Rik",10,7,5,4,5,0,13,0
"5033428I22Rik",21,18,13,21,8,14,18,3
"5033430I15Rik",16,27,22,11,8,3,15,7
"5330406M23Rik",136,84,34,42,27,84,139,22
"5330416C01Rik",5,0,8,1,2,4,0,1
"5330417C22Rik",51,55,48,23,41,27,51,39
"5330425B07Rik",0,5,3,2,0,1,3,0
"5330434G04Rik",1,1,0,2,0,0,2,4
"5330438D12Rik",35,16,24,18,40,52,27,26
"5330439K02Rik",14,12,2,4,5,5,11,0
"5330439M10Rik",2,5,0,7,3,0,0,0
"5430400D12Rik",3,0,3,1,2,0,7,6
"5430401H09Rik",1,1,0,5,0,3,1,0
"5430402O13Rik",4,8,3,11,8,6,4,14
"5430403G16Rik",55,54,23,11,22,12,30,29
"5430405H02Rik",216,160,86,124,85,193,145,66
"5430414B19Rik",36,9,11,14,8,13,27,20
"5430416N02Rik",105,92,28,50,51,81,78,37
"5430420F09Rik",8,7,4,3,4,4,8,4
"5430425K12Rik",121,116,22,116,73,186,108,66
"5430427O19Rik",677,696,392,353,385,621,515,298
"5430430B14Rik",37,19,28,29,22,43,25,17
"5430430K15Rik",7,8,3,3,3,13,8,15
"5430431A17Rik",7,27,10,7,2,7,6,0
"5430434F05Rik",109,73,49,31,40,52,84,28
"5430437J10Rik",145,91,64,62,28,36,29,10
"5530402G07Rik",78,45,18,53,24,26,62,11
"5530601H04Rik",631,445,329,261,315,505,398,403
"5730403I07Rik",0,0,0,1,0,2,8,0
"5730405O15Rik",6,17,4,11,0,11,2,5
"5730409E04Rik",195,169,187,160,135,107,155,110
"5730414N17Rik",16,3,7,7,8,12,18,5
"5730420D15Rik",24,0,1,0,4,5,13,0
"5730435O14Rik",33,20,11,17,2,37,12,8
"5730455P16Rik",389,310,233,224,188,197,234,206
"5730480H06Rik",224,192,162,175,112,124,208,113
"5730507A11Rik",15,20,0,1,3,1,15,2
"5730507C01Rik",0,2,4,0,7,0,3,2
"5730521K06Rik",12,6,2,4,2,6,8,0
"5830408C22Rik",84,80,55,54,64,60,102,40
"5830415G21Rik",91,55,22,50,22,56,46,11
"5830416I19Rik",50,27,51,29,35,86,52,37
"5830417I10Rik",632,721,574,519,637,616,551,299
"5830428M24Rik",191,221,48,112,76,323,205,84
"5830432E09Rik",251,186,152,160,166,160,178,93
"5830444B04Rik",80,61,94,50,24,122,158,6
"5830444F18Rik",0,1,10,0,2,6,1,0
"5830448L01Rik",60,41,29,34,38,37,33,26
"5830454E08Rik",34,23,10,5,10,11,2,0
"5830462I19Rik",105,78,72,58,77,54,66,33
"5830462O15Rik",21,20,3,3,2,3,13,2
"5930403N24Rik",112,72,34,63,48,82,52,40
"5930420M18Rik",52,10,6,13,13,37,31,14
"5930430L01Rik",6,3,5,3,10,9,4,4
"6030400A10Rik",36,59,11,11,16,32,32,3
"6030442K20Rik",77,56,36,29,26,37,56,24
"6030443J06Rik",9,8,4,6,4,8,8,5
"6030445D17Rik",3,0,1,1,0,5,1,0
"6030458C11Rik",1070,750,673,534,563,647,593,425
"6030460B20Rik",4,7,0,0,0,0,1,0
"6030468B19Rik",6,8,7,12,5,9,5,0
"6230400D17Rik",129,137,94,99,85,97,106,44
"6330403K07Rik",5,0,0,3,0,0,2,0
"6330403L08Rik",140,108,112,123,74,65,93,49
"6330408M09Rik",32,13,5,2,3,5,15,6
"6330409D20Rik",32,20,4,20,21,25,36,12
"6330415G19Rik",2,0,6,2,2,12,6,0
"6330418K02Rik",199,145,80,71,55,118,103,34
"6330537M06Rik",1192,714,692,485,638,458,550,665
"6330549D23Rik",70,72,72,44,44,46,30,38
"6330562C20Rik",29,22,29,25,25,28,52,16
"6430511E19Rik",4,8,6,6,8,22,16,2
"6430531B16Rik",99,58,32,72,44,52,78,18
"6430548M08Rik",1710,1429,1003,1198,933,1067,1032,546
"6430550D23Rik",89,101,62,78,62,72,56,31
"6430562O15Rik",110,64,69,62,40,44,32,22
"6430571L13Rik",24,5,10,16,6,12,16,1
"6430573P05Rik",9,8,9,13,11,2,13,23
"6430590A07Rik",11,14,6,19,4,32,36,11
"6430710M23Rik",2,0,1,0,0,4,10,3
"6530401F13Rik",0,5,0,0,0,6,1,0
"6530402F18Rik",930,574,531,524,662,678,659,320
"6530409C15Rik",18,36,16,23,28,9,25,12
"6530413G14Rik",1184,514,445,484,418,498,407,328
"6720427I07Rik",72,34,32,15,41,88,103,39
"6720464F23Rik",7,16,7,8,3,30,19,3
"6720468P15Rik",24,4,4,1,5,8,5,6
"6720475M21Rik",10,9,4,1,8,8,6,3
"6720482G16Rik",5,0,0,4,0,3,0,0
"6720489N17Rik",128,117,74,53,48,115,75,77
"6820402A03Rik",7,7,3,0,5,20,6,14
"6820431F20Rik",819,621,398,381,387,695,668,361
"7330423F06Rik",11,0,0,1,2,0,1,2
"7530414M10Rik",16,16,6,10,6,8,12,5
"8030442B05Rik",3,0,1,0,4,1,5,0
"8030451A03Rik",32,18,23,34,27,0,14,4
"8030453O22Rik",94,35,85,70,43,99,64,53
"8030456M14Rik",19,6,4,6,8,19,21,9
"8030462N17Rik",1380,1112,695,817,765,1032,777,486
"8430406P12Rik",18,29,5,16,7,30,21,4
"8430419K02Rik",3,0,0,3,1,5,2,0
"8430422M14Rik",21,8,4,5,2,7,8,1
"8430423G03Rik",18,2,4,4,0,9,7,2
"8430426J06Rik",15,13,4,0,0,19,8,15
"8430429K09Rik",110,86,46,65,53,60,58,59
"8430432A02Rik",1,0,3,6,1,15,3,0
"9030025P20Rik",288,251,165,169,107,217,211,108
"9030404E10Rik",6,5,1,2,2,0,7,0
"9030407P20Rik",28,14,12,13,10,27,24,16
"9030622O22Rik",3,2,3,1,2,2,2,2
"9030624G23Rik",3,9,2,3,2,0,3,1
"9130002K18Rik",180,85,33,33,40,92,66,70
"9130008F23Rik",44,33,48,59,40,34,57,33
"9130015A21Rik",226,135,32,94,176,840,250,196
"9130016M20Rik",5,0,3,1,1,0,0,2
"9130017K11Rik",6,0,2,1,1,0,5,0
"9130019O22Rik",80,79,88,62,59,44,47,36
"9130019P16Rik",119,60,72,52,42,46,60,22
"9130023H24Rik",80,93,99,82,74,47,66,51
"9130024F11Rik",14,7,0,7,2,0,2,7
"9130208D14Rik",136,235,176,110,340,91,206,71
"9130213A22Rik",16,2,12,8,5,13,8,8
"9130221H12Rik",1601,1108,744,865,729,1405,972,801
"9130230L23Rik",80,100,19,41,50,68,79,39
"9130230N09Rik",12,6,2,11,2,1,22,6
"9130401M01Rik",864,584,436,459,426,272,424,244
"9130604C24Rik",7,1,13,13,8,9,9,8
"9230104M06Rik",14,4,21,10,6,4,10,4
"9230105E05Rik",8,13,3,3,1,0,16,0
"9230111E07Rik",94,40,28,49,64,154,97,48
"9230112E08Rik",152,174,154,102,133,78,171,91
"9230112J17Rik",6,0,0,4,6,0,6,0
"9230114K14Rik",24,27,29,16,8,38,28,12
"9230116L04Rik",10,3,8,5,15,4,8,3
"9230116N13Rik",41,19,34,29,30,2,17,24
"9330020H09Rik",64,42,44,52,32,47,61,28
"9330102E08Rik",8,10,1,0,1,8,0,1
"9330104G04Rik",9,18,20,17,10,12,19,8
"9330111N05Rik",1,2,2,1,2,9,9,4
"9330136K24Rik",56,42,29,24,22,46,37,12
"9330151L19Rik",78,44,34,33,42,77,108,28
"9330154J02Rik",2,4,4,6,3,1,3,2
"9330159F19Rik",15,2,3,8,2,4,0,0
"9330159M07Rik",71,47,48,48,42,62,58,30
"9330160F10Rik",249,242,148,138,203,160,199,108
"9330161L09Rik",4,16,9,5,4,0,9,1
"9330162012Rik",0,0,6,2,0,0,2,0
"9330162G02Rik",132,112,71,68,76,132,121,49
"9330175E14Rik",69,74,23,20,48,61,44,36
"9330179D12Rik",15,13,4,12,2,2,15,4
"9330182L06Rik",15,0,1,5,3,8,2,0
"9330188P03Rik",8,8,1,1,6,3,14,0
"9430002A10Rik",11,0,8,8,1,7,0,4
"9430015G10Rik",279,319,172,215,143,255,336,111
"9430018G01Rik",3,7,3,4,6,0,9,5
"9430025C20Rik",194,270,77,105,74,294,314,82
"9430031K09Rik",6,16,1,1,0,8,4,5
"9430034N14Rik",55,84,32,46,51,55,174,26
"9430037G07Rik",10,11,8,6,7,4,10,1
"9430037O13Rik",7,6,5,1,0,12,0,12
"9430038I01Rik",415,282,228,218,201,218,276,149
"9430041J12Rik",0,7,0,2,2,0,3,0
"9430053O09Rik",4,0,4,2,0,11,24,3
"9430060I03Rik",39,16,12,38,38,50,30,25
"9430064I24Rik",153,114,95,96,116,66,108,61
"9430065F17Rik",2,1,6,2,6,4,4,0
"9430069I07Rik",9,1,7,5,6,4,6,6
"9430078K24Rik",4,5,1,4,1,4,7,0
"9430081H08Rik",41,24,6,10,15,30,12,15
"9430085M18Rik",4,0,4,0,0,4,3,4
"9430087J23Rik",1,1,4,2,1,1,9,3
"9430091E24Rik",40,34,32,28,34,45,37,30
"9530018F02Rik",18,4,19,11,8,12,18,5
"9530026P05Rik",1,0,3,1,2,5,1,0
"9530046B11Rik",7,0,3,3,5,6,0,1
"9530050K03Rik",26,3,1,11,4,12,9,2
"9530052E02Rik",0,1,7,10,8,3,4,4
"9530053A07Rik",4,18,6,6,8,10,6,2
"9530056E24Rik",36,61,13,11,12,61,52,6
"9530062K07Rik",26,25,17,9,10,14,27,18
"9530068E07Rik",9188,6387,5652,5586,4372,5116,5031,3681
"9530077C05Rik",41,37,17,29,17,52,31,17
"9530078K11Rik",40,37,4,16,4,19,19,2
"9530082P21Rik",157,133,118,110,100,67,101,70
"9530085L11Rik",37,30,26,29,19,41,40,13
"9630010A21Rik",49,80,24,37,18,96,146,18
"9630013K17Rik",4,2,3,1,2,0,8,2
"9630015K15Rik",0,7,0,3,2,8,7,0
"9630028H03Rik",8,3,6,11,8,2,4,3
"9630028I04Rik",27,24,24,13,20,32,41,19
"9830107B12Rik",851,577,355,543,621,976,1280,422
"9830144P21Rik",189,184,93,174,154,270,236,64
"9830166K06Rik",24,21,5,23,28,51,150,23
"9930004E17Rik",0,4,3,0,0,0,0,5
"9930012K11Rik",32,50,21,17,13,7,28,19
"9930014A18Rik",42,36,46,43,62,6,41,44
"9930017N22Rik",80,140,24,45,26,87,112,20
"9930021J03Rik",1535,1219,886,924,1036,1367,1167,794
"9930022D16Rik",86,40,14,38,54,217,154,61
"9930024M15Rik",12,9,7,2,3,3,16,0
"9930104L06Rik",393,246,199,204,188,206,276,130
"9930111J21Rik1",340,573,451,251,621,190,354,192
"9930111J21Rik2",1147,1725,1150,639,1613,1111,1101,951
"9930120I10Rik",58,27,20,30,27,68,120,23
"a",144,90,103,102,87,68,88,59
"A030001D20Rik",85,104,26,90,46,74,88,47
"A030005L19Rik",2,5,0,2,0,4,2,0
"A130006I12Rik",2,2,2,2,0,0,5,2
"A130010J15Rik",280,211,165,171,144,215,192,132
"A130012E19Rik",20,35,6,14,9,32,46,0
"A130014A01Rik",82,95,32,46,33,178,110,26
"A130048G24Rik",55,47,29,22,36,163,208,37
"A130050O07Rik",22,15,8,0,8,9,28,0
"A130051J06Rik",8,24,23,21,16,34,15,16
"A130071D04Rik",392,467,84,117,60,421,456,104
"A130077B15Rik",123,135,146,99,85,92,87,96
"A230005M16Rik",164,91,116,118,77,34,70,58
"A230020J21Rik",18,18,18,30,33,18,16,7
"A230028O05Rik",38,30,14,40,8,14,27,1
"A230056P14Rik",64,49,61,54,27,33,41,24
"A230060F14Rik",9,14,6,15,18,18,14,4
"A230072C01Rik",81,36,56,54,38,58,47,10
"A230072E10Rik",4,0,2,5,6,14,3,2
"A230083G16Rik",20,5,11,17,6,9,24,3
"A230083N12Rik",10,0,0,0,0,0,3,6
"A230085B16Rik",8,9,1,6,2,9,5,2
"A230087F16Rik",360,283,240,232,164,134,182,184
"A230103J11Rik",102,74,86,97,100,62,61,30
"A2m",161,170,182,213,331,53,233,35
"A330009N23Rik",53,41,18,24,10,16,20,12
"A330023F24Rik",162,199,46,88,88,257,242,39
"A330032B11Rik",0,2,0,3,3,2,6,5
"A330035P11Rik",19,18,9,5,11,7,14,20
"A330040F15Rik",23,23,6,10,2,4,4,0
"A330074K22Rik",0,6,0,0,4,2,1,2
"A330084C13Rik",8,8,4,6,8,1,36,0
"A3galt2",8,0,0,0,2,17,8,9
"A430005L14Rik",1042,742,521,541,407,533,580,256
"A430018G15Rik",14,8,6,22,15,16,8,12
"A430019L02Rik",0,0,0,0,17,12,7,3
"A430027C01Rik",19,6,1,2,3,13,17,7
"A430028G04Rik",0,7,0,5,5,1,4,0
"A430033K04Rik",60,57,72,34,43,49,32,26
"A430035B10Rik",48,35,10,18,15,30,26,17
"A430057M04Rik",134,80,60,92,59,60,71,31
"A430072P03Rik",0,0,0,5,0,7,0,0
"A430078I02Rik",26,14,10,8,15,30,20,14
"A430088P11Rik",10,10,8,2,10,0,4,0
"A430090L17Rik",26,17,3,15,10,13,34,2
"A430093F15Rik",16,0,5,7,5,2,3,4
"A430103D13Rik",66,55,28,17,20,99,59,16
"A430105J06Rik",6,0,3,3,1,10,8,0
"A430106G13Rik",12,12,9,14,4,37,17,12
"A430108G06Rik",0,7,11,2,0,5,4,1
"A430110C17Rik",81,60,24,24,24,15,47,8
"A430110L20Rik",4,6,2,0,2,3,3,0
"A4galt",42,53,68,40,17,76,53,29
"A530010L16Rik",78,73,33,33,34,23,87,11
"A530013C23Rik",100,42,33,63,58,106,169,58
"A530017D24Rik",212,206,126,126,76,224,160,148
"A530020G20Rik",6,7,4,7,3,4,12,11
"A530032D15Rik",155,219,96,102,120,51,79,70
"A530040E14Rik",540,523,366,386,341,132,241,360
"A530041M06Rik",27,35,16,8,12,11,17,13
"A530046M15Rik",0,0,1,4,0,6,6,0
"A530053M12Rik",14,1,2,0,1,7,0,0
"A530058O07Rik",3,2,0,0,2,4,6,0
"A530064D06Rik",1916,1022,768,1454,676,919,1006,504
"A530072M11Rik",10,17,4,12,7,0,1,20
"A530076I17Rik",24,22,12,16,17,14,29,27
"A530083I20Rik",4,4,8,6,6,8,4,1
"A530084C06Rik",7,10,12,18,15,3,6,1
"A530088E08Rik",143,108,82,66,106,82,79,19
"A630001G21Rik",1056,941,606,546,638,589,936,429
"A630001O12Rik",288,167,96,172,220,704,707,291
"A630012P03Rik",2,10,5,2,2,3,0,2
"A630023P12Rik",0,4,0,6,6,0,0,3
"A630035G10Rik",0,4,1,2,2,3,2,1
"A630052C17Rik",74,50,28,20,40,63,42,12
"A630072L19Rik",75,7,12,3,8,11,12,2
"A630072M18Rik",142,115,74,85,54,132,139,64
"A630081D01Rik",132,55,39,29,21,78,111,27
"A630089N07Rik",43,91,55,23,48,38,51,30
"A630091E08Rik",6,1,1,3,1,7,2,4
"A730011C13Rik",108,106,66,75,78,108,131,70
"A730017L22Rik",387,226,190,184,168,129,157,121
"A730020M07Rik",14,12,10,3,7,7,2,11
"A730049H05Rik",12,4,16,22,4,4,12,2
"A730060N03Rik",5,0,1,2,2,2,1,2
"A730061H03Rik",10,12,9,16,18,13,20,10
"A730063M14Rik",49,50,25,17,19,47,64,30
"A730071L15Rik",8,7,6,8,12,3,6,0
"A730081D07Rik",1048,860,346,631,447,644,531,250
"A730085K08Rik",218,176,130,112,64,120,96,72
"A730090N16Rik",8,4,4,4,4,2,2,0
"A830005F24Rik",5,4,3,4,1,11,6,6
"A830008E24Rik",0,11,0,4,0,0,1,3
"A830012C17Rik",0,3,0,0,4,2,0,0
"A830035O19Rik",96,40,60,48,75,42,57,20
"A830052D11Rik",24,20,59,39,22,36,42,37
"A830073O21Rik",0,0,1,2,0,2,2,2
"A830082K12Rik",3,8,16,6,3,0,10,4
"A830082N09Rik",0,0,13,7,6,1,6,11
"A930001C03Rik",6,4,5,6,6,4,6,1
"A930001M01Rik",77,42,10,25,14,31,48,4
"A930002H24Rik",13,0,2,4,1,4,10,0
"A930004D18Rik",23,11,25,21,6,7,9,3
"A930004J17Rik",73,72,22,38,41,110,174,18
"A930005H10Rik",114,88,54,96,47,84,76,45
"A930005N03Rik",0,12,10,5,12,6,2,3
"A930006I01Rik",12,7,0,0,2,0,0,0
"A930006K02Rik",27,41,15,23,13,11,46,25
"A930006L05Rik",4,0,2,0,0,4,0,1
"A930007I19Rik",603,387,268,428,228,343,385,209
"A930012O16Rik",18,18,12,12,16,16,22,11
"A930014D07Rik",1,0,0,0,1,3,0,0
"A930015D03Rik",37,19,18,20,21,46,26,11
"A930015P04Rik",3,2,1,2,3,8,10,3
"A930016O22Rik",10,3,4,3,6,0,5,2
"A930019D19Rik",6,3,1,4,0,5,6,0
